Game slug,Epic Games rating,Number of raters, Bayes rating
red-dead-redemption-2,4.90,89964,4.87
satisfactory,4.88,26097,4.79
the-witcher-3-wild-hunt,4.89,12915,4.74
marvels-spider-man-remastered,4.88,11859,4.73
final-fantasy-vii-remake-intergrade,4.85,14319,4.73
hitman-3,4.80,18868,4.71
sid-meiers-civilization-vi,4.73,50779,4.70
grand-theft-auto-v,4.69,515570,4.69
snowrunner,4.76,18051,4.68
genshin-impact,4.69,196979,4.68
borderlands-3,4.69,141679,4.68
enter-the-gungeon,4.86,7552,4.68
hades,4.92,5636,4.68
borderlands-2,4.77,11933,4.67
subnautica,4.83,6777,4.66
sifu,4.80,8042,4.66
batman-arkham-knight,4.82,6405,4.65
farming-simulator-19,4.72,14886,4.65
god-of-war,4.89,4316,4.65
football-manager-2022,4.80,6809,4.65
rise-of-the-tomb-raider,4.69,23043,4.65
metro-exodus,4.80,6504,4.64
bioshock-infinite-complete-edition,4.69,16756,4.63
slime-rancher,4.83,4718,4.63
horizon-zero-dawn-complete-edition,4.77,6350,4.63
frostpunk,4.72,9540,4.63
shadow-of-the-tomb-raider,4.65,30844,4.62
detroit-become-human,4.87,3290,4.62
tomb-raider,4.67,17048,4.62
into-the-breach,4.85,3570,4.62
anno-1800,4.83,3693,4.62
kingdom-hearts-hd-1-5-2-5-remix,4.82,3739,4.62
kingdom-come-deliverance,4.71,8004,4.62
cities-skylines,4.65,21440,4.62
farming-simulator-22,4.72,6999,4.61
darkest-dungeon,4.76,4656,4.61
bioshock-remastered,4.64,22371,4.61
celeste,4.92,2212,4.61
europa-universalis-iv,4.70,7411,4.61
unrailed-e19729,4.64,20873,4.61
assassins-creed-odyssey,4.75,4682,4.61
metro-last-light-redux,4.73,5429,4.61
pc-building-simulator,4.67,10581,4.61
mount-and-blade-2,4.74,4973,4.61
overcooked-2,4.75,4474,4.60
a-plague-tale-innocence,4.67,9252,4.60
death-stranding-directors-cut,4.84,2633,4.60
ark,4.62,33776,4.60
neon-abyss,4.68,7338,4.60
darkest-dungeon-2,4.68,6924,4.60
warframe,4.65,10047,4.59
the-long-dark,4.73,4050,4.59
the-binding-of-isaac-repentance,4.90,1728,4.59
trackmania,4.68,6044,4.59
loop-hero,4.69,5415,4.59
for-the-king,4.70,4784,4.59
chivalry-2,4.62,17047,4.59
supraland,4.61,24507,4.59
lego-star-wars-the-skywalker-saga,4.80,2365,4.59
metro-2033-redux,4.69,4815,4.59
jurassic-world-evolution-2,4.73,3437,4.59
nioh-2-the-complete-edition,4.80,2275,4.59
batman-arkham-city,4.78,2396,4.59
riders-republic,4.73,3053,4.58
sonic-mania,4.80,2043,4.58
jurassic-world-evolution,4.63,8385,4.58
days-gone,4.70,3446,4.58
disco-elysium,4.87,1390,4.58
against-the-storm,4.81,1690,4.58
assassins-creed-origins,4.69,3447,4.58
dying-light,4.72,2703,4.58
doom-64,4.67,4018,4.58
totally-accurate-battle-simulator,4.78,1838,4.58
kingdom-hearts-iii,4.79,1721,4.58
risk-of-rain-2,4.87,1248,4.58
hitman,4.64,5492,4.57
wolfenstein-the-new-order,4.58,58256,4.57
control,4.60,13623,4.57
dead-cells,4.87,1175,4.57
rogue-legacy-2,4.85,1246,4.57
elite-dangerous,4.63,5965,4.57
my-time-at-portia,4.67,3421,4.57
prey,4.60,11733,4.57
subnautica-below-zero,4.78,1548,4.57
kena-bridge-of-spirits,4.68,2849,4.57
wargame-red-dragon,4.69,2570,4.57
among-us,4.58,23395,4.57
thehunter-call-of-the-wild,4.59,12586,4.57
tony-hawks-pro-skater-1-and-2,4.82,1107,4.57
total-war-warhammer-ii,4.82,1084,4.57
multiversus,4.57,51865,4.56
assassins-creed-valhalla,4.59,10562,4.56
nioh-the-complete-edition,4.59,9055,4.56
rimworld,4.88,771,4.56
faster-than-light,4.80,1029,4.56
ooblets,4.87,793,4.56
pathfinder-wrath-of-the-righteous,4.76,1178,4.56
oxygen-not-included,4.85,800,4.56
rainbow-six-siege,4.59,7548,4.56
pillars-of-eternity,4.65,2457,4.56
cyberpunk-2077,4.57,21387,4.56
total-war-warhammer,4.59,7264,4.56
remnant-from-the-ashes,4.58,10274,4.56
tiny-tinas-wonderlands,4.57,19364,4.56
outerwilds,4.90,606,4.56
dying-light-2-stay-human,4.59,6457,4.56
state-of-decay-2-juggernaut-edition,4.73,1197,4.56
inscryption-6b29ab,4.85,694,4.56
world-war-z,4.57,15009,4.56
alien-isolation,4.60,4427,4.56
batman-arkham-asylum,4.66,1826,4.56
inside,4.70,1302,4.56
rising-storm-2-vietnam,4.63,2500,4.56
path-of-exile,4.62,2743,4.55
walking-dead-definitive-series,4.85,599,4.55
mechwarrior-5,4.60,3904,4.55
prison-architect,4.60,3884,4.55
mudrunner,4.62,2639,4.55
the-crew-2,4.65,1800,4.55
the-outer-worlds,4.63,2142,4.55
dungeons-3,4.67,1352,4.55
this-war-of-mine,4.72,939,4.55
salt-and-sanctuary,4.61,2741,4.55
watch-dogs-2,4.58,5504,4.55
moonlighter,4.71,946,4.55
marvels-guardians-of-the-galaxy,4.74,780,4.55
house-flipper,4.71,915,4.55
surviving-mars,4.60,2950,4.55
ghostrunner,4.72,786,4.55
unreal-tournament,4.69,952,4.55
nuclear-throne,4.79,547,4.55
valorant,4.55,132930,4.55
